chemID	MTX_LRM	MTX_MIX1	MTX_MIX2	csDMARD_LRM	csDMARD_MIX1	csDMARD_MIX2	TNFi_LRM	TNFi_MIX1	TNFi_MIX2	nTNFi_LRM	nTNFi_MIX1	nTNFi_MIX2	pred_LRM	pred_MIX1	pred_MIX2
100000010	0.555443724556235	0.71873928569244	0.766202282820431	0.748432658771074	0.772496958991777	0.714472952199068	0.000785822437453342	0.00606468097602051	0.00468852413823701	0.314279857896881	0.524557459609493	0.562429271859105	0.903492228152322	0.880348875107621	0.96644168557416	
100021141	0.15813596307514	0.154910016215592	0.107658777461896	0.295120204802569	0.164124247955875	0.114527230187379	0.810874287703063	0.854567767952917	0.719979931730449	0.0042490185823525	0.00919644147197587	0.00494905276019055	0.875024308307424	0.52242251124905	0.334748059243911	
100001950	0.226042417952039	0.236403355275808	0.18292174827525	0.488955676762996	0.265471734496371	0.211616714290204	0.188138828659555	0.71271552982286	0.791332316104361	0.814832667791299	0.961873293570244	0.873836673117954	0.888282533457571	0.0940295426197879	0.054473777713544	
100001635	0.949242518540347	0.863235426808536	0.927068521956709	0.49442477102848	0.457570431028215	0.459952656857851	0.379063901749461	0.425141135118238	0.524004847074433	0.60472742356774	0.660461377448162	0.729590229211203	0.227538025329159	0.317803164869385	0.309119566674908	
100015839	0.0015734737789741	0.00402486834416417	0.00180339024775126	0.458279331652177	0.186437388120204	0.141862480768674	0.769978672931558	0.84755499641614	0.81404725222518	0.534132269932319	0.527563055887864	0.426030904038338	0.617694298813796	0.310395869712074	0.204321058773831	
100001197	0.206821178745046	0.2497639200357	0.148119638707978	0.20917284695416	0.396577830538636	0.491377437029955	0.423911673800392	0.227062197164536	0.235208391101733	0.606589069530824	0.652233363292819	0.483425529941161	0.929247007017729	0.971840432605129	0.80348103145423	
100000939	0.325150858999304	0.338290370411061	0.276869009510992	0.365212484798815	0.364244183076167	0.387135926672488	0.476816717228734	0.479449555639137	0.660230261293295	0.285693751945898	0.296831028011828	0.348041377306907	0.638777913834877	0.640848160491082	0.575008523936802	
100001313	0.431282037974654	0.636793291882269	0.710517337665135	0.52273307567209	0.546468978569099	0.621798630988295	0.690963815576082	0.753644409106596	0.823385840817103	0.0943806871598237	0.100889143011406	0.115562780638146	0.637171378147071	0.678148149497716	0.821216903454765	
100000007	0.51116476286937	0.594434851048321	0.553901018296082	0.241365841538664	0.694320715599762	0.678939900664461	0.331172957085047	0.293117914029337	0.293114666500097	0.00208033311604168	0.0152319955691975	0.0179916869378981	0.0872182598938248	0.0359948164450096	0.0403084373757828	
100002911	0.950204073857548	0.999248154470367	0.85750882656271	0.483652915915352	0.495739506907027	0.53574348806809	0.847929336586131	0.767285623095038	0.653090306341916	0.90315749490131	0.841370403441658	0.708256027578584	0.490663799085542	0.231396288210058	0.184561216203179	
1489	0.907998757851333	0.99224670389572	0.779170612813052	0.236049779755256	0.239245697119822	0.324390257547079	0.587664377638995	0.64761310647223	0.58228464600416	0.490929264491006	0.447915616644558	0.592780475639844	0.0949181864439957	0.105149930170548	0.194044000732494	
